EquipmentItem_Item_AdamantineSickle,"(Id=0000000000000000000000000000008C,LegacyId=140)",Adamantine Sickle,"(TagName=""Equipment.Type.Item.Passive"")","(GameplayTags=((TagName=""ItemStore.Filter.Stat.LifeSteal""),(TagName=""ItemStore.Category.Tier2""),(TagName=""ItemStore.Filter.Stat.PhysicalPower""),(TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.ItemTier.Tier2"")))",Passive: While you are below 50% HP you gain 15 Strength.,"((StatTag=(TagName=""Character.Stat.PhysicalPower""),Value=10.000000),(StatTag=(TagName=""Character.Stat.LifeStealPercent""),Value=7.000000))"
EquipmentItem_Item_AdroitRing,"(Id=00000000000000000000000000000771,LegacyId=1905)",Adroit Ring,"(TagName=""Equipment.Type.Item.Passive"")","(GameplayTags=((TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.Category.Tier2""),(TagName=""ItemStore.Filter.Stat.CooldownReduction""),(TagName=""ItemStore.ItemTier.Tier2"")))",,"((StatTag=(TagName=""Character.Stat.CooldownReductionPercent""),Value=10.000000))"
EquipmentItem_Item_AegisOfAcceleration,"(Id=000000000000000000000000000007A1,LegacyId=1953)",Aegis of Acceleration,"(TagName=""Equipment.Type.Relic"")","(GameplayTags=((TagName=""ItemStore.ItemTier.Tier3""),(TagName=""ItemStore.Filter.Active""),(TagName=""ItemStore.Category.Relic""),(TagName=""ItemStore.Filter.Role.Support""),(TagName=""ItemStore.Filter.Role.Solo.STR""),(TagName=""ItemStore.Filter.Role.Solo.INT""),(TagName=""ItemStore.Filter.Role.Recommended""),(TagName=""ItemStore.Filter.Role.Popular""),(TagName=""ItemStore.Filter.Role.Mid.STR""),(TagName=""ItemStore.Filter.Role.Mid.INT""),(TagName=""ItemStore.Filter.Role.Jungle.STR""),(TagName=""ItemStore.Filter.Role.Jungle.INT""),(TagName=""ItemStore.Filter.Role.Carry.STR""),(TagName=""ItemStore.Filter.Role.Carry.Hybrid"")))","Active: You become invulnerable to damage and healing for 1.5s, and prevented from taking any actions except moving. Each instance of damage prevented provides you 7% Movement Speed for 6s, stacking up to 3 times. Cooldown: 140s.",
EquipmentItem_Item_Aspect_Arcanist,"(Id=000000000000000000000000000003F4,LegacyId=1012)",Archmage,"(TagName=""Equipment.Type.Starter"")","(GameplayTags=((TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.ItemTier.Tier1""),(TagName=""ItemStore.Filter.Role.Mid.INT""),(TagName=""ItemStore.Filter.Role.Mid.STR""),(TagName=""ItemStore.Filter.Role""),(TagName=""ItemStore.Category.Starter"")))",Passive: Your next damage dealing ability deals 20% bonus damage.  20s Cooldown.,
EquipmentItem_Item_Aspect_Herald,"(Id=000000000000000000000000000003F6,LegacyId=1014)",Warden,"(TagName=""Equipment.Type.Starter"")","(GameplayTags=((TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.ItemTier.Tier1""),(TagName=""ItemStore.Filter.Role.Support""),(TagName=""ItemStore.Category.Starter"")))","Passive: Each second you are nearby an ally god gain a stacking buff that provides 1+0.1 per level of each protection. Stacks up to 10 times. At 10 Stacks, you and allies withins 10m gain 5% increased Movement Speed. Stacks last 10s.",
EquipmentItem_Item_Aspect_Ranger,"(Id=000000000000000000000000000003F7,LegacyId=1015)",Ranger,"(TagName=""Equipment.Type.Starter"")","(GameplayTags=((TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.ItemTier.Tier1""),(TagName=""ItemStore.Filter.Role.Carry.Hybrid""),(TagName=""ItemStore.Filter.Role.Carry.STR""),(TagName=""ItemStore.Category.Starter"")))",Passive: Basic attacks and abilities deal 10% bonus damage to enemies 7.5m or further.,
EquipmentItem_Item_Aspect_Spiritualist,"(Id=000000000000000000000000000003F8,LegacyId=1016)",Spiritualist,"(TagName=""Equipment.Type.Starter"")","(GameplayTags=((TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.ItemTier.Tier1""),(TagName=""ItemStore.Filter.Role.Jungle.INT""),(TagName=""ItemStore.Filter.Role.Jungle.STR""),(TagName=""ItemStore.Category.Starter"")))",Passive: Basic attacks deal 12.5% bonus physical damage to all enemies within 2.5m of the target.,
EquipmentItem_Item_AtalantasBow,"(Id=000000000000000000000000000000EB,LegacyId=235)",Hastened Fatalis,"(TagName=""Equipment.Type.Item.Passive"")","(GameplayTags=((TagName=""ItemStore.Filter.Stat.PhysicalPower""),(TagName=""ItemStore.Filter.Stat.AttackSpeed""),(TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.ItemTier.Tier3""),(TagName=""ItemStore.Filter.Role.Jungle.STR""),(TagName=""ItemStore.Filter.Role.Carry.STR""),(TagName=""ItemStore.Filter.Role.Carry.Hybrid""),(TagName=""ItemStore.Category.Offensive""),(TagName=""ItemStore.Category.Tier3""),(TagName=""ItemStore.Filter.Role"")))","Passive: When you hit an enemy god with a basic attack, the Basic Attack Movement Penalty is reduced by 25% for 2s.  Stacks up to 3 times.","((StatTag=(TagName=""Character.Stat.PhysicalPower""),Value=20.000000),(StatTag=(TagName=""Character.Stat.AttackSpeedPercent""),Value=25.000000))"
EquipmentItem_Item_AvatarsParashu,"(Id=000000000000000000000000000000DD,LegacyId=221)",Avatar's Parashu,"(TagName=""Equipment.Type.Item.Active"")","(GameplayTags=((TagName=""ItemStore.Filter.Active""),(TagName=""ItemStore.Filter.Stat.PhysicalPower""),(TagName=""ItemStore.ItemTier.Tier3""),(TagName=""ItemStore.Filter.Role.Jungle.STR""),(TagName=""ItemStore.Filter.Role.Mid.STR""),(TagName=""ItemStore.Filter.Role.Carry.STR""),(TagName=""ItemStore.Category.Offensive""),(TagName=""ItemStore.Category.Tier3""),(TagName=""ItemStore.Filter.Role"")))",Active: You gain 25% increased Strength and become Displacement Immune for 10s. Cooldown: 120s.,"((StatTag=(TagName=""Character.Stat.PhysicalPower""),Value=100.000000))"
EquipmentItem_Item_Axe,"(Id=0000000000000000000000000000008D,LegacyId=141)",Axe,"(TagName=""Equipment.Type.Item.Passive"")","(GameplayTags=((TagName=""ItemStore.Filter.Stat.PhysicalPower""),(TagName=""ItemStore.Filter.Passive""),(TagName=""ItemStore.ItemTier.Tier1""),(TagName=""ItemStore.Category.StartingLoadout""),(TagName=""ItemStore.Category.Tier1""),(TagName=""ItemStore.Filter.Role.Carry.STR""),(TagName=""ItemStore.Filter.Role.Jungle.STR""),(TagName=""ItemStore.Filter.Role.Mid.STR""),(TagName=""ItemStore.Filter.Role.Carry.Hybrid"")))",,"((StatTag=(TagName=""Character.Stat.PhysicalPower""),Value=10.000000))"
